Name,category,country,num_episodes,aired,orginal_network,duration,watchers,director,screenwriter,rating,num_raters,cast_names,genre_names,tag_names,synopsis,url
Tunnel,Drama,South Korea,16,2017,OCN,60 min.,"32,651","Nam Ki Hoon,  Shin Yong Hwi",Lee Eun Mi,8.7,"14,787","Choi Jin Hyuk,Yoon Hyun Min,Lee Yoo Young,Jo Hee Bong,Kim Byung Chul,Kang Ki Young","Thriller,Mystery,Sci-Fi,Fantasy "," Time Travel,Murder,Criminal Profiler,Serial Killer,Bromance,Hardworking Male Lead,Hidden Identity,Strong Female Lead,Character Development,Slight Romance  ","In 1986, Park Gwang Ho works as an excellent and enthusiastic detective. His life changes when he혪s pursuing leads in a serial homicide case and then passes through a time portal, which transports him to present day Seoul.  He meets a new partner Kim Sun Jae, an elite detective who happens to be a bit eccentric, but is one highly skilled investigator. The detective duo will also find help in psychology professor, Shin Jae Yi.",https://i.mydramalist.com/JkryYc.jpg?v=1
Twenty-Five Twenty-One,Drama,South Korea,16,2022,Netflix tvN,1 hr. 13 min.,"16,043",Jung Ji Hyun,Kwon Do Eun,8.8,"2,119","Kim Tae Ri,Nam Joo Hyuk,Bona,Choi Hyun Wook,Lee Joo Myung,Seo Jae Hee","Romance,Life,Youth,Drama "," Athlete,Fencing,1990s,Coming Of Age,Bold Female Lead,IMF Crisis,Nice Male Lead,Friends To Lovers,Bankruptcy,High School To Working Life  ","The story is set in 1998 and tells the stories of youth who find new direction and growth after having their dreams taken away. Two people first meet when they are 22 and 18 years old and fall in love years later when they turn 25 and 21.

Na Hee Do is a member of her high school fencing team. Due to the South Korean financial crisis, the high school fencing team gets disbanded. Getting through all the difficulties, she becomes a member of the national fencing team.
The South Korean financial crisis also causes Baek Yi Jin혪s father's business to go bankrupt. This leads to a life change for Baek Yi Jin, from living the life of a wealthy person to a poor person. While studying, he works part-time jobs like delivering newspapers. Later, he becomes a sports reporter for a broadcasting network.",https://i.mydramalist.com/ROOPo_4c.jpg?v=1
Dr. Romantic 2,Drama,South Korea,16,2020,SBS,1 hr. 10 min.,"31,855","Yoo In Shik,  Lee Gil Bok",Kang Eun Kyung,8.7,"15,880","Han Seok Kyu,Ahn Hyo Seop,Lee Sung Kyung,Kim Joo Heon,Shin Dong Wook,So Ju Yeon","Romance,Drama,Medical,Melodrama "," Hospital,Smart Male Lead,Character Development,Bickering Couple,Love/Hate Relationship,Smart Female Lead,Hardworking Female Lead,Healing,Nervous Female Lead,Slow Burn Romance  ","A 혫real doctor혬 story set in a small, humble hospital called Doldam Hospital. It is a story about people who meet Kim Sa Bu, a genius doctor, and discover 혫real romance.혬

Kim Sa Bu once gained fame as a top surgeon at a huge hospital. One day, he disappeared from the eyes of the public, quietly becoming the chief surgeon at Doldam Hospital in the countryside. After he conducted a successful operation on Chairman Shin, he gets to improve the hospital under reliable support. But then Chairman Shin passes away, and an old foe returns. New people appear and his students had to leave the hospital. Furthermore, his wrist, which was injured three years ago, starts to act weird. Kim Sa Bu decides to go to a huge hospital himself to solve the manpower shortage at Doldam, where he finds two people who resemble his former students but who seem much more lacking. Seo Woo Jin would do anything for money, and Cha Eun Jae gets nauseous every time she tries to perform surgery. Will Kim Sa Bu be able to run Doldam Hospital with these two?",https://i.mydramalist.com/Rr7DEc.jpg?v=1
Move to Heaven,Drama,South Korea,10,2021,Netflix,52 min.,"40,962",Kim Sung Ho,Yoon Ji Ryun,9.2,"20,399","Lee Je Hoon,Tang Jun Sang,Hong Seung Hee,Jung Suk Yong,Jung Young Joo,Lee Moon Shik","Life,Drama,Family "," Autism,Uncle-Nephew Relationship,Death,Savant Syndrome,Mourning,Tearjerker,Father-Son Relationship,Life Lesson,Ex-convict,Cleaning And Organizing  ","Geu Roo is a young autistic man. He works for his father혪s business 혫Move To Heaven.혬 Their job is to arrange items left by deceased people. One day, Geu Roo's own father dies. Geu Roo is left alone, but his uncle Sang Koo suddenly appears in front of him. Sang Koo is a cold man. He was a martial artist who fought in underground matches. He went to prison because of what happened at his fight. Sang Koo now becomes Geu Roo혪s guardian. They run 혫Move To Heaven혬 together.",https://i.mydramalist.com/Rle36_4c.jpg?v=1
Crash Landing on You,Drama,South Korea,16,2020,Netflix tvN,1 hr. 25 min.,"1,10,352",Lee Jeong Hyo,Park Ji Eun,9,"62,174","Hyun Bin,Son Ye Jin,Seo Ji Hye,Kim Jung Hyun,Yang Kyung Won,Lee Shin Young","Military,Comedy,Romance,Political "," North And South Korea,Star Crossed Lovers,Strong Male Lead,Army Officer,Rich Female Lead,North Korean,Soldier,Fate,Nice Male Lead,Friendship  ","After getting into a paragliding accident, South Korean heiress Yoon Se Ri crash lands in North Korea. There, she meets North Korean army officer Ri Jung Hyuk, who agrees to help her return to South Korea. Despite the tension between their countries, the two of them start falling for one another.",https://i.mydramalist.com/XrN2dc.jpg?v=1
The King혪s Avatar,Drama,China,40,2019,Tencent Video,45 min.,"24,236","Shiyiyue,  Zhang Xiao An","Qiao Bing Qing,  Zhou Miao,  Li Zhen",8.6,"8,734","Yang Yang,Jiang Shu Ying,Lai Yu Meng,Daisy Li,Leon Lai,Fan Jin Wei","Action,Friendship,Youth,Sports "," Online Gaming,Strong Friendship,Smart Male Lead,Game,Competition,Gamer,Sismance,Hardworking Female Lead,Tournament,Bromance  ","In the multiplayer online game Glory, Ye Xiu is well known as the textbook level expert and top-tier player Ye Qiu. Due to a series of circumstances he was forcefully expelled out of his professional team. After leaving the pro-gaming scene he resides at an Internet Caf챕 employed as one of the managers. When Glory launches their tenth server he throws himself into the game once more. Equipped with ten years of gaming experience, memories of the past, and an incomplete self-made weapon. His journey back to the top begins.",https://i.mydramalist.com/2O0xEc.jpg?v=1
Unnatural,Drama,Japan,10,2018,TBS,45 min.,"6,699","Tsukahara Ayuko,  Takemura Kentaro,  Murao Yoshiaki",Nogi Akiko,8.6,"2,549","Ishihara Satomi,Iura Arata,Kubota Masataka,Ichikawa Mikako,Matsushige Yutaka,Yakushimaru Hiroko","Mystery,Medical "," Forensic,Smart Female Lead,Death,Strong Female Lead,Murder,Hardworking Female Lead,Police Procedural,Poison,Teamwork,Accident  ","Unnatural is a case-of-the-week medical mystery show; its main theme is the change of reality brought upon by imminent death of a loved one. Mystery and exhilarating human drama unfold against the backdrop of the 혫unnatural death institute혬, or 혫UDI혬. For example, the body of a young man is brought into the UDI lab one day; cause of his death is attributed to ischemic heart disease. But the victim혪s parents are puzzled by the freak nature of their son혪s death and turn to medical coroner Mikoto, to find the real reason. Together with her lab technician partner, Yuko Shoji, and rookie medical recorder, Rokuro, they examine the body for a possible drug poisoning and then learn that female colleague of the deceased man has just died suddenly.",https://i.mydramalist.com/jYgxb_4c.jpg?v=1
Rebel: Thief Who Stole the People,Drama,South Korea,30,2017,MBC,60 min.,"14,364",Kim Jin Man,Hwang Jin Young,8.5,"4,600","Yoon Kyun Sang,Chae Soo Bin,Kim Ji Suk,Lee Ha Nee,Kim Sang Joong,Shim Hee Sub","Action,Thriller,Historical,Romance "," Rebellion,Joseon Dynasty,Strong Male Lead,Smart Male Lead,Corruption,Slave,Discrimination,Bromance,Superhuman Strength,Revenge  ","혫The culprit who is posing as a royal official is not stealing wealth. He is stealing the hearts and minds of your people, Your Majesty.혬 There was a divisive figure in the Joseon Dynasty who was a hero to the people but an enemy to the establishment. His name was Hong Gil Dong. King Yeonsangun had royal lineage but was reviled by his people while Hong Gil Dong was born as a slave but succeeded in winning over the hearts of the commoners. The struggle between these two men demonstrate the qualities that a true leader needs. This TV series portrays the life of Hong Gil Dong who survived in a hostile and tyrannical kingdom as he waged a fight against the powerful elites.",https://i.mydramalist.com/Red2Vc.jpg?v=1
You Are My Hero,Drama,China,40,2021,iQiyi Tencent Video Youku,45 min.,"17,259",Zhang Tong,Qin Wen,8.7,"8,207","Ma Si Chun,Bai Jing Ting,Chen Hao,Jiang Pei Yao,Wang Yang,Zhang Yao","Military,Romance,Drama,Medical "," Adapted From A Novel,Male Chases Female First,Nice Male Lead,Military Police,Multiple Couples,Nice Female Lead,Love At First Sight,Earthquake,First Love,Healthy Mains혪 Relationship  ","Freshly graduated doctor Mi Ka was at a jewellery store to purchase a gift for her parents when a jewel heist by armed robbers occurred. A special SWAT team was deployed to take control of the situation and this was how Mi Ka met Special Forces Captain Xing Ke Lei when he helped diffuse an explosive situation. However, because Xing Ke Lei was in full combat uniform and had his face masked, she did not know what he looked like. 

A few years later, when finalising her qualifications to be a full medical surgeon, Mi Ka decides to participate in a joint emergency rescue training exercise between her hospital & the police SWAT team and she unknowingly meets Captain Xing Ke Lei again. A relationship between them begins and eventually develops as they grow to learn more about each other and as they encounter various military and medical situations in future.",https://i.mydramalist.com/RpDez_4c.jpg?v=1
Love and Redemption,Drama,China,59,2020,Mango TV Tencent Video Youku,45 min.,"15,966","Yin Tao,  Mai Guan Zhi",Liu Fang,8.8,"7,207","Cheng Yi,Crystal Yuan,Liu Xue Yi,Zhang Yu Xi,Bai Shu,Hou Meng Yao","Historical,Romance,Wuxia,Fantasy "," Reincarnation,Deity,Female Warrior,Hidden Identity,Xianxia,Steamy Kiss,First Love,Nice Male Lead,Fated Love,Adapted From A Novel  ","A thousand years since the battle between the demons and heavens took place, the souls of the Star of Mosha and the God of War are sent to the mortal realm to serve penance. 

In the mortal realm, Chu Xuan Ji, daughter of the Shaoyang Sect Leader, is deprived of her six senses. At a tournament, she meets Yu Si Feng, a skilled disciple of Lize Palace who was born on the same day as her, and the two develop a friendship. Promising to meet again, Si Feng returns to his sect where he is punished for breaking the rules and forced to wear a mask that could potentially harm his life, while Xuan Ji leaves her home to train in martial arts.

Four years later, their destinies intertwine anew. While traveling together, recovered memories from their past lives surface, revealing secrets and conspiracies involving themselves and the three realms; demon, heavenly, and mortal. These revelations have a profound impact on their relationship, creating an imbalance in all three realms.",https://i.mydramalist.com/BoB65_4c.jpg?v=1
